bridge_repo,status,detail,pr_url
vibe-coding-classroom/vibe-coding-classroom-01-unit-vscode-setup-01-unit-vscode-setup,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-02-unit-agent-mode-02-unit-agent-mode,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-02-unit-vibe-coding-02-unit-vibe-coding,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-02-unit-web-agents-02-unit-web-agents,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-03-unit-github-classroom-03-unit-github-classroom,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-03-unit-motor-ramping-03-unit-motor-ramping,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-03-unit-wifi-setup-03-unit-wifi-setup,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-01-unit-jpeg-quality-adv-01-unit-jpeg-quality,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-01-unit-mjpeg-stream-adv-01-unit-mjpeg-stream,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-01-unit-s3-interfaces-adv-01-unit-s3-interfaces,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-02-unit-bandwidth-fps-adv-02-unit-bandwidth-fps,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-02-unit-canvas-image-adv-02-unit-canvas-image,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-02-unit-video-streaming-adv-02-unit-video-streaming,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-03-unit-ble-mtu-adv-03-unit-ble-mtu,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-03-unit-ble-notify-adv-03-unit-ble-notify,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-03-unit-json-serialization-adv-03-unit-json-serialization,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-04-unit-filter-algorithms-adv-04-unit-filter-algorithms,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-04-unit-i2c-spi-adv-04-unit-i2c-spi,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-04-unit-json-rest-adv-04-unit-json-rest,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-05-unit-centroid-error-adv-05-unit-centroid-error,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-05-unit-closed-loop-adv-05-unit-closed-loop,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-05-unit-feature-extraction-adv-05-unit-feature-extraction,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-06-unit-centroid-algorithm-adv-06-unit-centroid-algorithm,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-06-unit-hsv-math-adv-06-unit-hsv-math,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-06-unit-look-ahead-adv-06-unit-look-ahead,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-06-unit-threshold-filter-adv-06-unit-threshold-filter,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-07-unit-chart-canvas-adv-07-unit-chart-canvas,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-07-unit-event-polling-adv-07-unit-event-polling,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-07-unit-json-parsing-adv-07-unit-json-parsing,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-07-unit-ui-framework-adv-07-unit-ui-framework,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-08-unit-color-spaces-adv-08-unit-color-spaces,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-08-unit-error-calculation-adv-08-unit-error-calculation,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-08-unit-mobilenet-ssd-adv-08-unit-mobilenet-ssd,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-08-unit-p-control-adv-08-unit-p-control,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-09-unit-cnn-audio-adv-09-unit-cnn-audio,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-09-unit-flow-control-adv-09-unit-flow-control,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-09-unit-teachable-machine-adv-09-unit-teachable-machine,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-09-unit-webspeech-api-adv-09-unit-webspeech-api,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-10-unit-api-design-adv-10-unit-api-design,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-10-unit-icc-geometry-adv-10-unit-icc-geometry,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-10-unit-pwm-limits-adv-10-unit-pwm-limits,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-11-unit-hardware-interrupts-adv-11-unit-hardware-interrupts,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-11-unit-sensor-principles-adv-11-unit-sensor-principles,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-11-unit-speed-algorithms-adv-11-unit-speed-algorithms,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-12-unit-code-logic-adv-12-unit-code-logic,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-12-unit-pid-control-adv-12-unit-pid-control,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-12-unit-pid-math-adv-12-unit-pid-math,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-13-unit-robustness-adv-13-unit-robustness,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-13-unit-system-perf-adv-13-unit-system-perf,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-13-unit-technical-narrative-adv-13-unit-technical-narrative,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-14-unit-debugging-art-adv-14-unit-debugging-art,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-14-unit-kpi-definition-adv-14-unit-kpi-definition,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-14-unit-refactoring-adv-14-unit-refactoring,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-15-unit-ble-async-adv-15-unit-ble-async,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-15-unit-data-flow-adv-15-unit-data-flow,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-15-unit-image-dma-adv-15-unit-image-dma,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-15-unit-pid-simulation-adv-15-unit-pid-simulation,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-01-unit-drivers-ports-basic-01-unit-drivers-ports,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-01-unit-esp32-architecture-basic-01-unit-esp32-architecture,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-01-unit-platformio-setup-basic-01-unit-platformio-setup,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-02-unit-ota-principles-basic-02-unit-ota-principles,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-02-unit-ota-security-basic-02-unit-ota-security,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-02-unit-partition-table-basic-02-unit-partition-table,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-03-unit-adc-resolution-basic-03-unit-adc-resolution,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-03-unit-pinout-basic-03-unit-pinout,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-03-unit-pullup-debounce-basic-03-unit-pullup-debounce,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-04-unit-h-bridge-basic-04-unit-h-bridge,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-04-unit-ledc-syntax-basic-04-unit-ledc-syntax,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-04-unit-pwm-basics-basic-04-unit-pwm-basics,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-05-unit-advertising-connection-basic-05-unit-advertising-connection,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-05-unit-ble-properties-basic-05-unit-ble-properties,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-05-unit-gatt-structure-basic-05-unit-gatt-structure,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-06-unit-cors-security-basic-06-unit-cors-security,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-06-unit-fetch-api-basic-06-unit-fetch-api,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-06-unit-http-request-basic-06-unit-http-request,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-07-unit-async-webserver-basic-07-unit-async-webserver,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-07-unit-http-lifecycle-basic-07-unit-http-lifecycle,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-07-unit-wifi-ap-sta-basic-07-unit-wifi-ap-sta,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-08-unit-joystick-mapping-basic-08-unit-joystick-mapping,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-08-unit-response-curves-basic-08-unit-response-curves,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-08-unit-unicycle-model-basic-08-unit-unicycle-model,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-09-unit-hardware-timer-basic-09-unit-hardware-timer,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-09-unit-millis-basic-09-unit-millis,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-09-unit-sampling-rate-basic-09-unit-sampling-rate,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-10-unit-fsm-basic-10-unit-fsm,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-10-unit-state-consistency-basic-10-unit-state-consistency,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-basic-10-unit-ui-design-basic-10-unit-ui-design,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-start-01-unit-flexbox-layout-start-01-unit-flexbox-layout,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-start-01-unit-html5-basics-start-01-unit-html5-basics,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-start-01-unit-ui-ux-standards-start-01-unit-ui-ux-standards,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-start-02-unit-ble-async-start-02-unit-ble-async,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-start-02-unit-ble-security-start-02-unit-ble-security,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-start-02-unit-typed-arrays-start-02-unit-typed-arrays,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-start-03-unit-control-panel-start-03-unit-control-panel,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-start-03-unit-data-json-start-03-unit-data-json,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-start-03-unit-flow-logic-start-03-unit-flow-logic,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-start-04-unit-long-press-start-04-unit-long-press,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-start-04-unit-prevent-default-start-04-unit-prevent-default,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-start-04-unit-touch-basics-start-04-unit-touch-basics,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-start-05-unit-canvas-joystick-start-05-unit-canvas-joystick,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-start-05-unit-joystick-math-start-05-unit-joystick-math,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-start-05-unit-touch-vs-mouse-start-05-unit-touch-vs-mouse,unrelated,requires --allow-unrelated-histories strategy,
