old_path,language,legacy_slug,canonical_slug,proposed_new_path,legacy_opposite_path,legacy_pair_exists
en/car-advanced-api-design.html,en,car-advanced-api-design,car-advanced-api-design,courses/en/car-advanced-api-design.html,zh-TW/car-advanced-api-design.html,yes
zh-TW/car-advanced-api-design.html,zh-TW,car-advanced-api-design,car-advanced-api-design,courses/zh-TW/car-advanced-api-design.html,en/car-advanced-api-design.html,yes
en/car-advanced-bandwidth-fps.html,en,car-advanced-bandwidth-fps,car-advanced-bandwidth-fps,courses/en/car-advanced-bandwidth-fps.html,zh-TW/car-advanced-bandwidth-fps.html,yes
zh-TW/car-advanced-bandwidth-fps.html,zh-TW,car-advanced-bandwidth-fps,car-advanced-bandwidth-fps,courses/zh-TW/car-advanced-bandwidth-fps.html,en/car-advanced-bandwidth-fps.html,yes
en/car-advanced-ble-async.html,en,car-advanced-ble-async,car-advanced-ble-async,courses/en/car-advanced-ble-async.html,zh-TW/car-advanced-ble-async.html,yes
zh-TW/car-advanced-ble-async.html,zh-TW,car-advanced-ble-async,car-advanced-ble-async,courses/zh-TW/car-advanced-ble-async.html,en/car-advanced-ble-async.html,yes
en/car-advanced-ble-mtu.html,en,car-advanced-ble-mtu,car-advanced-ble-mtu,courses/en/car-advanced-ble-mtu.html,zh-TW/car-advanced-ble-mtu.html,yes
zh-TW/car-advanced-ble-mtu.html,zh-TW,car-advanced-ble-mtu,car-advanced-ble-mtu,courses/zh-TW/car-advanced-ble-mtu.html,en/car-advanced-ble-mtu.html,yes
en/car-advanced-ble-notify.html,en,car-advanced-ble-notify,car-advanced-ble-notify,courses/en/car-advanced-ble-notify.html,zh-TW/car-advanced-ble-notify.html,yes
zh-TW/car-advanced-ble-notify.html,zh-TW,car-advanced-ble-notify,car-advanced-ble-notify,courses/zh-TW/car-advanced-ble-notify.html,en/car-advanced-ble-notify.html,yes
en/car-advanced-canvas-image.html,en,car-advanced-canvas-image,car-advanced-canvas-image,courses/en/car-advanced-canvas-image.html,zh-TW/car-advanced-canvas-image.html,yes
zh-TW/car-advanced-canvas-image.html,zh-TW,car-advanced-canvas-image,car-advanced-canvas-image,courses/zh-TW/car-advanced-canvas-image.html,en/car-advanced-canvas-image.html,yes
en/car-advanced-centroid-algorithm.html,en,car-advanced-centroid-algorithm,car-advanced-centroid-algorithm,courses/en/car-advanced-centroid-algorithm.html,zh-TW/car-advanced-centroid-algorithm.html,yes
zh-TW/car-advanced-centroid-algorithm.html,zh-TW,car-advanced-centroid-algorithm,car-advanced-centroid-algorithm,courses/zh-TW/car-advanced-centroid-algorithm.html,en/car-advanced-centroid-algorithm.html,yes
en/car-advanced-centroid-error.html,en,car-advanced-centroid-error,car-advanced-centroid-error,courses/en/car-advanced-centroid-error.html,zh-TW/car-advanced-centroid-error.html,yes
zh-TW/car-advanced-centroid-error.html,zh-TW,car-advanced-centroid-error,car-advanced-centroid-error,courses/zh-TW/car-advanced-centroid-error.html,en/car-advanced-centroid-error.html,yes
en/car-advanced-chart-canvas.html,en,car-advanced-chart-canvas,car-advanced-chart-canvas,courses/en/car-advanced-chart-canvas.html,zh-TW/car-advanced-chart-canvas.html,yes
zh-TW/car-advanced-chart-canvas.html,zh-TW,car-advanced-chart-canvas,car-advanced-chart-canvas,courses/zh-TW/car-advanced-chart-canvas.html,en/car-advanced-chart-canvas.html,yes
en/car-advanced-closed-loop.html,en,car-advanced-closed-loop,car-advanced-closed-loop,courses/en/car-advanced-closed-loop.html,zh-TW/car-advanced-closed-loop.html,yes
zh-TW/car-advanced-closed-loop.html,zh-TW,car-advanced-closed-loop,car-advanced-closed-loop,courses/zh-TW/car-advanced-closed-loop.html,en/car-advanced-closed-loop.html,yes
en/car-advanced-cnn-audio.html,en,car-advanced-cnn-audio,car-advanced-cnn-audio,courses/en/car-advanced-cnn-audio.html,zh-TW/car-advanced-cnn-audio.html,yes
zh-TW/car-advanced-cnn-audio.html,zh-TW,car-advanced-cnn-audio,car-advanced-cnn-audio,courses/zh-TW/car-advanced-cnn-audio.html,en/car-advanced-cnn-audio.html,yes
en/car-advanced-code-logic.html,en,car-advanced-code-logic,car-advanced-code-logic,courses/en/car-advanced-code-logic.html,zh-TW/car-advanced-code-logic.html,yes
zh-TW/car-advanced-code-logic.html,zh-TW,car-advanced-code-logic,car-advanced-code-logic,courses/zh-TW/car-advanced-code-logic.html,en/car-advanced-code-logic.html,yes
en/car-advanced-color-spaces.html,en,car-advanced-color-spaces,car-advanced-color-spaces,courses/en/car-advanced-color-spaces.html,zh-TW/car-advanced-color-spaces.html,yes
zh-TW/car-advanced-color-spaces.html,zh-TW,car-advanced-color-spaces,car-advanced-color-spaces,courses/zh-TW/car-advanced-color-spaces.html,en/car-advanced-color-spaces.html,yes
en/car-advanced-data-flow.html,en,car-advanced-data-flow,car-advanced-data-flow,courses/en/car-advanced-data-flow.html,zh-TW/car-advanced-data-flow.html,yes
zh-TW/car-advanced-data-flow.html,zh-TW,car-advanced-data-flow,car-advanced-data-flow,courses/zh-TW/car-advanced-data-flow.html,en/car-advanced-data-flow.html,yes
en/car-advanced-debugging-art.html,en,car-advanced-debugging-art,car-advanced-debugging-art,courses/en/car-advanced-debugging-art.html,zh-TW/car-advanced-debugging-art.html,yes
zh-TW/car-advanced-debugging-art.html,zh-TW,car-advanced-debugging-art,car-advanced-debugging-art,courses/zh-TW/car-advanced-debugging-art.html,en/car-advanced-debugging-art.html,yes
en/car-advanced-error-calculation.html,en,car-advanced-error-calculation,car-advanced-error-calculation,courses/en/car-advanced-error-calculation.html,zh-TW/car-advanced-error-calculation.html,yes
zh-TW/car-advanced-error-calculation.html,zh-TW,car-advanced-error-calculation,car-advanced-error-calculation,courses/zh-TW/car-advanced-error-calculation.html,en/car-advanced-error-calculation.html,yes
en/car-advanced-event-polling.html,en,car-advanced-event-polling,car-advanced-event-polling,courses/en/car-advanced-event-polling.html,zh-TW/car-advanced-event-polling.html,yes
zh-TW/car-advanced-event-polling.html,zh-TW,car-advanced-event-polling,car-advanced-event-polling,courses/zh-TW/car-advanced-event-polling.html,en/car-advanced-event-polling.html,yes
en/car-advanced-feature-extraction.html,en,car-advanced-feature-extraction,car-advanced-feature-extraction,courses/en/car-advanced-feature-extraction.html,zh-TW/car-advanced-feature-extraction.html,yes
zh-TW/car-advanced-feature-extraction.html,zh-TW,car-advanced-feature-extraction,car-advanced-feature-extraction,courses/zh-TW/car-advanced-feature-extraction.html,en/car-advanced-feature-extraction.html,yes
en/car-advanced-filter-algorithms.html,en,car-advanced-filter-algorithms,car-advanced-filter-algorithms,courses/en/car-advanced-filter-algorithms.html,zh-TW/car-advanced-filter-algorithms.html,yes
zh-TW/car-advanced-filter-algorithms.html,zh-TW,car-advanced-filter-algorithms,car-advanced-filter-algorithms,courses/zh-TW/car-advanced-filter-algorithms.html,en/car-advanced-filter-algorithms.html,yes
en/car-advanced-flow-control.html,en,car-advanced-flow-control,car-advanced-flow-control,courses/en/car-advanced-flow-control.html,zh-TW/car-advanced-flow-control.html,yes
zh-TW/car-advanced-flow-control.html,zh-TW,car-advanced-flow-control,car-advanced-flow-control,courses/zh-TW/car-advanced-flow-control.html,en/car-advanced-flow-control.html,yes
en/car-advanced-hardware-interrupts.html,en,car-advanced-hardware-interrupts,car-advanced-hardware-interrupts,courses/en/car-advanced-hardware-interrupts.html,zh-TW/car-advanced-hardware-interrupts.html,yes
zh-TW/car-advanced-hardware-interrupts.html,zh-TW,car-advanced-hardware-interrupts,car-advanced-hardware-interrupts,courses/zh-TW/car-advanced-hardware-interrupts.html,en/car-advanced-hardware-interrupts.html,yes
en/car-advanced-hsv-math.html,en,car-advanced-hsv-math,car-advanced-hsv-math,courses/en/car-advanced-hsv-math.html,zh-TW/car-advanced-hsv-math.html,yes
zh-TW/car-advanced-hsv-math.html,zh-TW,car-advanced-hsv-math,car-advanced-hsv-math,courses/zh-TW/car-advanced-hsv-math.html,en/car-advanced-hsv-math.html,yes
en/car-advanced-i2c-spi.html,en,car-advanced-i2c-spi,car-advanced-i2c-spi,courses/en/car-advanced-i2c-spi.html,zh-TW/car-advanced-i2c-spi.html,yes
zh-TW/car-advanced-i2c-spi.html,zh-TW,car-advanced-i2c-spi,car-advanced-i2c-spi,courses/zh-TW/car-advanced-i2c-spi.html,en/car-advanced-i2c-spi.html,yes
en/car-advanced-icc-geometry.html,en,car-advanced-icc-geometry,car-advanced-icc-geometry,courses/en/car-advanced-icc-geometry.html,zh-TW/car-advanced-icc-geometry.html,yes
zh-TW/car-advanced-icc-geometry.html,zh-TW,car-advanced-icc-geometry,car-advanced-icc-geometry,courses/zh-TW/car-advanced-icc-geometry.html,en/car-advanced-icc-geometry.html,yes
en/car-advanced-image-dma.html,en,car-advanced-image-dma,car-advanced-image-dma,courses/en/car-advanced-image-dma.html,zh-TW/car-advanced-image-dma.html,yes
zh-TW/car-advanced-image-dma.html,zh-TW,car-advanced-image-dma,car-advanced-image-dma,courses/zh-TW/car-advanced-image-dma.html,en/car-advanced-image-dma.html,yes
en/car-advanced-jpeg-quality.html,en,car-advanced-jpeg-quality,car-advanced-jpeg-quality,courses/en/car-advanced-jpeg-quality.html,zh-TW/car-advanced-jpeg-quality.html,yes
zh-TW/car-advanced-jpeg-quality.html,zh-TW,car-advanced-jpeg-quality,car-advanced-jpeg-quality,courses/zh-TW/car-advanced-jpeg-quality.html,en/car-advanced-jpeg-quality.html,yes
en/car-advanced-json-parsing.html,en,car-advanced-json-parsing,car-advanced-json-parsing,courses/en/car-advanced-json-parsing.html,zh-TW/car-advanced-json-parsing.html,yes
zh-TW/car-advanced-json-parsing.html,zh-TW,car-advanced-json-parsing,car-advanced-json-parsing,courses/zh-TW/car-advanced-json-parsing.html,en/car-advanced-json-parsing.html,yes
en/car-advanced-json-rest.html,en,car-advanced-json-rest,car-advanced-json-rest,courses/en/car-advanced-json-rest.html,zh-TW/car-advanced-json-rest.html,yes
zh-TW/car-advanced-json-rest.html,zh-TW,car-advanced-json-rest,car-advanced-json-rest,courses/zh-TW/car-advanced-json-rest.html,en/car-advanced-json-rest.html,yes
en/car-advanced-json-serialization.html,en,car-advanced-json-serialization,car-advanced-json-serialization,courses/en/car-advanced-json-serialization.html,zh-TW/car-advanced-json-serialization.html,yes
zh-TW/car-advanced-json-serialization.html,zh-TW,car-advanced-json-serialization,car-advanced-json-serialization,courses/zh-TW/car-advanced-json-serialization.html,en/car-advanced-json-serialization.html,yes
en/car-advanced-kpi-definition.html,en,car-advanced-kpi-definition,car-advanced-kpi-definition,courses/en/car-advanced-kpi-definition.html,zh-TW/car-advanced-kpi-definition.html,yes
zh-TW/car-advanced-kpi-definition.html,zh-TW,car-advanced-kpi-definition,car-advanced-kpi-definition,courses/zh-TW/car-advanced-kpi-definition.html,en/car-advanced-kpi-definition.html,yes
en/car-advanced-look-ahead.html,en,car-advanced-look-ahead,car-advanced-look-ahead,courses/en/car-advanced-look-ahead.html,zh-TW/car-advanced-look-ahead.html,yes
zh-TW/car-advanced-look-ahead.html,zh-TW,car-advanced-look-ahead,car-advanced-look-ahead,courses/zh-TW/car-advanced-look-ahead.html,en/car-advanced-look-ahead.html,yes
en/car-advanced-mjpeg-stream.html,en,car-advanced-mjpeg-stream,car-advanced-mjpeg-stream,courses/en/car-advanced-mjpeg-stream.html,zh-TW/car-advanced-mjpeg-stream.html,yes
zh-TW/car-advanced-mjpeg-stream.html,zh-TW,car-advanced-mjpeg-stream,car-advanced-mjpeg-stream,courses/zh-TW/car-advanced-mjpeg-stream.html,en/car-advanced-mjpeg-stream.html,yes
en/car-advanced-mobilenet-ssd.html,en,car-advanced-mobilenet-ssd,car-advanced-mobilenet-ssd,courses/en/car-advanced-mobilenet-ssd.html,zh-TW/car-advanced-mobilenet-ssd.html,yes
zh-TW/car-advanced-mobilenet-ssd.html,zh-TW,car-advanced-mobilenet-ssd,car-advanced-mobilenet-ssd,courses/zh-TW/car-advanced-mobilenet-ssd.html,en/car-advanced-mobilenet-ssd.html,yes
en/car-advanced-p-control.html,en,car-advanced-p-control,car-advanced-p-control,courses/en/car-advanced-p-control.html,zh-TW/car-advanced-p-control.html,yes
zh-TW/car-advanced-p-control.html,zh-TW,car-advanced-p-control,car-advanced-p-control,courses/zh-TW/car-advanced-p-control.html,en/car-advanced-p-control.html,yes
en/car-advanced-pid-control.html,en,car-advanced-pid-control,car-advanced-pid-control,courses/en/car-advanced-pid-control.html,zh-TW/car-advanced-pid-control.html,yes
zh-TW/car-advanced-pid-control.html,zh-TW,car-advanced-pid-control,car-advanced-pid-control,courses/zh-TW/car-advanced-pid-control.html,en/car-advanced-pid-control.html,yes
en/car-advanced-pid-math.html,en,car-advanced-pid-math,car-advanced-pid-math,courses/en/car-advanced-pid-math.html,zh-TW/car-advanced-pid-math.html,yes
zh-TW/car-advanced-pid-math.html,zh-TW,car-advanced-pid-math,car-advanced-pid-math,courses/zh-TW/car-advanced-pid-math.html,en/car-advanced-pid-math.html,yes
en/car-advanced-pid-simulation.html,en,car-advanced-pid-simulation,car-advanced-pid-simulation,courses/en/car-advanced-pid-simulation.html,zh-TW/car-advanced-pid-simulation.html,yes
zh-TW/car-advanced-pid-simulation.html,zh-TW,car-advanced-pid-simulation,car-advanced-pid-simulation,courses/zh-TW/car-advanced-pid-simulation.html,en/car-advanced-pid-simulation.html,yes
en/car-advanced-pwm-limits.html,en,car-advanced-pwm-limits,car-advanced-pwm-limits,courses/en/car-advanced-pwm-limits.html,zh-TW/car-advanced-pwm-limits.html,yes
zh-TW/car-advanced-pwm-limits.html,zh-TW,car-advanced-pwm-limits,car-advanced-pwm-limits,courses/zh-TW/car-advanced-pwm-limits.html,en/car-advanced-pwm-limits.html,yes
en/car-advanced-refactoring.html,en,car-advanced-refactoring,car-advanced-refactoring,courses/en/car-advanced-refactoring.html,zh-TW/car-advanced-refactoring.html,yes
zh-TW/car-advanced-refactoring.html,zh-TW,car-advanced-refactoring,car-advanced-refactoring,courses/zh-TW/car-advanced-refactoring.html,en/car-advanced-refactoring.html,yes
en/car-advanced-robustness.html,en,car-advanced-robustness,car-advanced-robustness,courses/en/car-advanced-robustness.html,zh-TW/car-advanced-robustness.html,yes
zh-TW/car-advanced-robustness.html,zh-TW,car-advanced-robustness,car-advanced-robustness,courses/zh-TW/car-advanced-robustness.html,en/car-advanced-robustness.html,yes
en/car-advanced-s3-interfaces.html,en,car-advanced-s3-interfaces,car-advanced-s3-interfaces,courses/en/car-advanced-s3-interfaces.html,zh-TW/car-advanced-s3-interfaces.html,yes
zh-TW/car-advanced-s3-interfaces.html,zh-TW,car-advanced-s3-interfaces,car-advanced-s3-interfaces,courses/zh-TW/car-advanced-s3-interfaces.html,en/car-advanced-s3-interfaces.html,yes
en/car-advanced-sensor-principles.html,en,car-advanced-sensor-principles,car-advanced-sensor-principles,courses/en/car-advanced-sensor-principles.html,zh-TW/car-advanced-sensor-principles.html,yes
zh-TW/car-advanced-sensor-principles.html,zh-TW,car-advanced-sensor-principles,car-advanced-sensor-principles,courses/zh-TW/car-advanced-sensor-principles.html,en/car-advanced-sensor-principles.html,yes
en/car-advanced-speed-algorithms.html,en,car-advanced-speed-algorithms,car-advanced-speed-algorithms,courses/en/car-advanced-speed-algorithms.html,zh-TW/car-advanced-speed-algorithms.html,yes
zh-TW/car-advanced-speed-algorithms.html,zh-TW,car-advanced-speed-algorithms,car-advanced-speed-algorithms,courses/zh-TW/car-advanced-speed-algorithms.html,en/car-advanced-speed-algorithms.html,yes
en/car-advanced-system-perf.html,en,car-advanced-system-perf,car-advanced-system-perf,courses/en/car-advanced-system-perf.html,zh-TW/car-advanced-system-perf.html,yes
zh-TW/car-advanced-system-perf.html,zh-TW,car-advanced-system-perf,car-advanced-system-perf,courses/zh-TW/car-advanced-system-perf.html,en/car-advanced-system-perf.html,yes
en/car-advanced-teachable-machine.html,en,car-advanced-teachable-machine,car-advanced-teachable-machine,courses/en/car-advanced-teachable-machine.html,zh-TW/car-advanced-teachable-machine.html,yes
zh-TW/car-advanced-teachable-machine.html,zh-TW,car-advanced-teachable-machine,car-advanced-teachable-machine,courses/zh-TW/car-advanced-teachable-machine.html,en/car-advanced-teachable-machine.html,yes
en/car-advanced-technical-narrative.html,en,car-advanced-technical-narrative,car-advanced-technical-narrative,courses/en/car-advanced-technical-narrative.html,zh-TW/car-advanced-technical-narrative.html,yes
zh-TW/car-advanced-technical-narrative.html,zh-TW,car-advanced-technical-narrative,car-advanced-technical-narrative,courses/zh-TW/car-advanced-technical-narrative.html,en/car-advanced-technical-narrative.html,yes
en/car-advanced-threshold-filter.html,en,car-advanced-threshold-filter,car-advanced-threshold-filter,courses/en/car-advanced-threshold-filter.html,zh-TW/car-advanced-threshold-filter.html,yes
zh-TW/car-advanced-threshold-filter.html,zh-TW,car-advanced-threshold-filter,car-advanced-threshold-filter,courses/zh-TW/car-advanced-threshold-filter.html,en/car-advanced-threshold-filter.html,yes
en/car-advanced-ui-framework.html,en,car-advanced-ui-framework,car-advanced-ui-framework,courses/en/car-advanced-ui-framework.html,zh-TW/car-advanced-ui-framework.html,yes
zh-TW/car-advanced-ui-framework.html,zh-TW,car-advanced-ui-framework,car-advanced-ui-framework,courses/zh-TW/car-advanced-ui-framework.html,en/car-advanced-ui-framework.html,yes
en/car-advanced-video-streaming.html,en,car-advanced-video-streaming,car-advanced-video-streaming,courses/en/car-advanced-video-streaming.html,zh-TW/car-advanced-video-streaming.html,yes
zh-TW/car-advanced-video-streaming.html,zh-TW,car-advanced-video-streaming,car-advanced-video-streaming,courses/zh-TW/car-advanced-video-streaming.html,en/car-advanced-video-streaming.html,yes
en/car-advanced-webspeech-api.html,en,car-advanced-webspeech-api,car-advanced-webspeech-api,courses/en/car-advanced-webspeech-api.html,zh-TW/car-advanced-webspeech-api.html,yes
